"sector";"shape";"scale"
"A";0,0180294468918138;2438,51304811273
"B-EexC";0,0435242790668063;132,783105795656
"C";0,0655592065272113;136,021872743566
"F";0,0308067661008616;147,606825975599
"G-J";0,0631322856389569;80,428129052068
"K-N";0,0232910785986799;145,621191729389
"O-U";0,0145450292146283;124,396130023713
